28332;Brumunddal;brumunddal;7600716;;60.880208;10.938092;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600106;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOABV;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28332
28333;Moelv;moelv;7600720;;60.93017;10.698053;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600107;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOABX;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28333
28334;Lillehammer;lillehammer;7600725;;61.115087;10.461088;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600035;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOABY;f;;f;f;;;;;;;;;;;;リレハンメル;릴레함메르;;;Лиллехаммер;;;利勒哈默尔;urn:trainline:public:nloc:csv28334
28335;Ringebu;ringebu;7600734;;61.529193;10.139238;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600108;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOACC;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28335
28336;Vinstra;vinstra;7600739;;61.595246;9.747381;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600109;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOACE;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28336
28337;Kvam;kvam;7600740;;61.664706;9.700987;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600184;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOACF;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28337
28338;Otta;otta;7600743;;61.772406;9.537213;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600054;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOACG;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28338
28339;Dovre;dovre;7600746;;61.984182;9.256992;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600186;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOACH;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28339
28340;Dombas;dombas;7600747;;62.068789;9.125561;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600010;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOACI;f;;f;f;;;;;;;;;;;;;;;;;;;杜姆奥斯;urn:trainline:public:nloc:csv28340
28341;Lesja;lesja;7600801;;62.119138;8.852837;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600187;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOACJ;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28341
